project,accuracy,precision,recall,f1,f2
apache-ant-1.7.0,0.7631097560975608,0.08462788090347023,0.671770866984229,0.14897072056098332,0.2756847237504861
apache-jmeter-2.10,0.7025744416873448,0.15895306590558334,0.8926323581111714,0.26235651478733707,0.4378379319245683
argouml,0.7262030671602328,0.4120985735665174,0.9641606589135024,0.5522685746367473,0.7271370393347468
columba-1.4-src,0.8728748068006184,0.20448339306545799,0.9159891319348092,0.3289318805500417,0.5264381105262556
emf-2.4.1,0.8243166287015944,0.10178823255904541,0.735132359729387,0.17692821881589704,0.32010609535115014
hibernate-distribution-3.3.2.GA,0.6663299663299664,0.31303067841159143,0.9003949956902932,0.46328375987314463,0.652465611049843
jEdit-4.2,0.8325423728813559,0.13490519220445024,0.732666702770891,0.2220545163916182,0.3678916300663179
jfreechart-1.0.19,0.8559523809523808,0.24827860081265318,0.8947636149409627,0.3863811855193094,0.5833041624696161
jruby-1.4.0,0.6536734693877552,0.2772056030287516,0.955023578891435,0.42518650982462364,0.6321778493911797
sql12,0.6662162162162162,0.09496277934299031,0.8591063301218659,0.17014158765468124,0.32532720698276246
